PK_ID,HTTPS
235271,https://connect.discoveryeducation.com/index.cfm?
235277,https://connect.discoveryeducation.com/index.cfm?
235278,https://connect.discoveryeducation.com/index.cfm?
235057,https://connect.discoveryeducation.com/index.cfm?
235061,https://connect.discoveryeducation.com/index.cfm?
235062,https://connect.discoveryeducation.com/index.cfm?
235068,https://connect.discoveryeducation.com/index.cfm?
235069,https://connect.discoveryeducation.com/index.cfm?
235075,https://connect.discoveryeducation.com/index.cfm?
235078,https://connect.discoveryeducation.com/index.cfm?
235079,https://connect.discoveryeducation.com/index.cfm?
235081,https://connect.discoveryeducation.com/index.cfm?
235082,https://connect.discoveryeducation.com/index.cfm?
235083,https://connect.discoveryeducation.com/index.cfm?
235086,https://connect.discoveryeducation.com/index.cfm?
235087,https://connect.discoveryeducation.com/index.cfm?
235088,https://connect.discoveryeducation.com/index.cfm?
235089,https://connect.discoveryeducation.com/index.cfm?
234128,https://connect.discoveryeducation.com/index.cfm?
234130,https://connect.discoveryeducation.com/index.cfm?
234131,https://connect.discoveryeducation.com/index.cfm?
234132,https://connect.discoveryeducation.com/index.cfm?
234133,https://connect.discoveryeducation.com/index.cfm?
234137,https://connect.discoveryeducation.com/index.cfm?
234140,https://connect.discoveryeducation.com/index.cfm?
234141,https://connect.discoveryeducation.com/index.cfm?
234144,https://connect.discoveryeducation.com/index.cfm?
234145,https://connect.discoveryeducation.com/index.cfm?
234146,https://connect.discoveryeducation.com/index.cfm?
234147,https://connect.discoveryeducation.com/index.cfm?
234148,https://connect.discoveryeducation.com/index.cfm?
234149,https://connect.discoveryeducation.com/index.cfm?
234194,https://connect.discoveryeducation.com/index.cfm?
234195,https://connect.discoveryeducation.com/index.cfm?
234200,https://connect.discoveryeducation.com/index.cfm?
234201,https://connect.discoveryeducation.com/index.cfm?
234235,https://connect.discoveryeducation.com/index.cfm?
235144,https://connect.discoveryeducation.com/index.cfm?
235146,https://connect.discoveryeducation.com/index.cfm?
235147,https://connect.discoveryeducation.com/index.cfm?
