USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
168961,11-AUG-20 05.24.49.797000000 AM,1107257,1A528243-6051-4476-9D69-F4CF20120CEC.png,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548207/439495/1A528243-6051-4476-9D69-F4CF20120CEC.png,Success
168961,11-AUG-20 05.22.39.064000000 AM,1107256,CB948BAA-2F07-49DC-9C1F-81A736AC971B.png,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548176/419346/CB948BAA-2F07-49DC-9C1F-81A736AC971B.png,Success
51260,11-AUG-20 04.56.44.572000000 AM,1107255,Wilted Away.m4a,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21548179/427534/Wilted Away.m4a,Success
51260,11-AUG-20 04.56.44.572000000 AM,1107254,Wilted Away.doc,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21548179/427534/Wilted Away.doc,Success
78405,11-AUG-20 04.45.20.925000000 AM,1107253,Poetry Outline (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/78405/Assessment Attempt Attachments/21548178/354570/Poetry Outline (1).pdf,Success
51260,11-AUG-20 04.45.00.058000000 AM,1107251,Screen Shot 2020-08-11 at 12.43.42 AM.png,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21547907/427532/Screen Shot 2020-08-11 at 12.43.42 AM.png,Success
51260,11-AUG-20 04.45.00.058000000 AM,1107252,Screen Shot 2020-08-11 at 12.44.41 AM.png,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21547907/427532/Screen Shot 2020-08-11 at 12.44.41 AM.png,Success
167341,11-AUG-20 04.03.46.613000000 AM,1107250,human and the bear.docx,http://52.252.6.133/suite/repository/workspace/Users/167341/Assessment Attempt Attachments/21548109/354347/human and the bear.docx,Success
169013,11-AUG-20 03.58.10.740000000 AM,1107246,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/130867/Assessment Attempt Attachments/21548020/258051/image.jpg,Success
167573,11-AUG-20 03.54.21.740000000 AM,1107249,ADA9E2AE-6F7C-47E7-A2F0-F23AD76F26C1.png,http://52.252.6.133/suite/repository/workspace/Users/167573/Assessment Attempt Attachments/21548050/354354/ADA9E2AE-6F7C-47E7-A2F0-F23AD76F26C1.png,Success
168961,11-AUG-20 03.52.48.639000000 AM,1107248,Screenshot_20200810-235234_Drive.jpg,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548053/439432/Screenshot_20200810-235234_Drive.jpg,Success
168961,11-AUG-20 03.49.05.030000000 AM,1107247,Screenshot_20200810-234835_Drive.jpg,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548018/439376/Screenshot_20200810-234835_Drive.jpg,Success
168358,11-AUG-20 03.43.39.297000000 AM,1107245,Screenshot 2020-08-10 at 11.43.16 PM.png,http://52.252.6.133/suite/repository/workspace/Users/168358/Assessment Attempt Attachments/21548023/445380/Screenshot 2020-08-10 at 11.43.16 PM.png,Success
168961,11-AUG-20 03.41.49.033000000 AM,1107244,Screenshot_20200810-234130_Office Mobile.jpg,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21547997/439406/Screenshot_20200810-234130_Office Mobile.jpg,Success
131951,11-AUG-20 03.40.30.900000000 AM,1107243,WS.EDHS.2018.ELA.X.96.pdf,http://52.252.6.133/suite/repository/workspace/Users/131951/Assessment Attempt Attachments/21548001/439495/WS.EDHS.2018.ELA.X.96.pdf,Success
131951,11-AUG-20 03.37.14.234000000 AM,1107242,RG.EDHS.LA001.D.1.7.pdf,http://52.252.6.133/suite/repository/workspace/Users/131951/Assessment Attempt Attachments/21547910/419346/RG.EDHS.LA001.D.1.7.pdf,Success
167640,11-AUG-20 03.27.29.783000000 AM,1107241,Quick Notes.one,http://52.252.6.133/suite/repository/workspace/Users/167640/Assessment Attempt Attachments/21547934/438939/Quick Notes.one,Success
167640,11-AUG-20 03.24.16.468000000 AM,1107240,Quick Notes.one,http://52.252.6.133/suite/repository/workspace/Users/167640/Assessment Attempt Attachments/21547921/438940/Quick Notes.one,Success
167341,11-AUG-20 03.19.52.707000000 AM,1107239,human and the bird.docx,http://52.252.6.133/suite/repository/workspace/Users/167341/Assessment Attempt Attachments/21547904/354346/human and the bird.docx,Success
51260,11-AUG-20 03.19.41.090000000 AM,1107237,Screen Shot 2020-08-10 at 11.11.08 PM.png,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21547751/427528/Screen Shot 2020-08-10 at 11.11.08 PM.png,Success
51260,11-AUG-20 03.19.41.090000000 AM,1107238,Screen Shot 2020-08-10 at 11.19.00 PM.png,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21547751/427528/Screen Shot 2020-08-10 at 11.19.00 PM.png,Success
166207,11-AUG-20 02.46.20.756000000 AM,1107235,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21547642/20889/image.jpg,Success
166207,11-AUG-20 02.46.20.756000000 AM,1107233,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21547642/138587/image.jpg,Success
166207,11-AUG-20 02.46.20.756000000 AM,1107234,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21547642/20901/image.jpg,Success
131951,11-AUG-20 02.21.37.093000000 AM,1107232,WS.EDHS.2018.ELA.X.87.pdf,http://52.252.6.133/suite/repository/workspace/Users/131951/Assessment Attempt Attachments/21547531/439432/WS.EDHS.2018.ELA.X.87.pdf,Success
96711,11-AUG-20 02.20.17.862000000 AM,1107231,ShortStory_wSitIrony_Template 2.docx,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21547663/354835/ShortStory_wSitIrony_Template 2.docx,Success
167472,11-AUG-20 02.13.18.849000000 AM,1107230,My informational essay about cheetahs.docx,http://52.252.6.133/suite/repository/workspace/Users/167472/Assessment Attempt Attachments/21547631/354267/My informational essay about cheetahs.docx,Success
167576,11-AUG-20 01.52.23.953000000 AM,1107228,Answer_the_Questions_Below.docx,http://52.252.6.133/suite/repository/workspace/Users/167576/Assessment Attempt Attachments/21547511/235929/Answer_the_Questions_Below.docx,Success
167576,11-AUG-20 01.52.23.953000000 AM,1107229,son_and_the_spider_assignment.docx,http://52.252.6.133/suite/repository/workspace/Users/167576/Assessment Attempt Attachments/21547511/235936/son_and_the_spider_assignment.docx,Success
167576,11-AUG-20 01.52.23.953000000 AM,1107227,World_on_Turtles_Back_Balance_Assignment.docx,http://52.252.6.133/suite/repository/workspace/Users/167576/Assessment Attempt Attachments/21547511/252880/World_on_Turtles_Back_Balance_Assignment.docx,Success
169013,11-AUG-20 01.43.10.879000000 AM,1107216,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/169013/Assessment Attempt Attachments/21546545/258011/image.jpg,Success
169013,11-AUG-20 01.43.10.879000000 AM,1107226,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/169013/Assessment Attempt Attachments/21546545/258013/image.jpg,Success
51260,11-AUG-20 01.39.53.068000000 AM,1107225,option A.jpeg,http://52.252.6.133/suite/repository/workspace/Users/51260/Assessment Attempt Attachments/21331361/354811/option A.jpeg,Success
131951,11-AUG-20 01.38.58.318000000 AM,1107224,WS.EDHS.2018.ELA.X.91.pdf,http://52.252.6.133/suite/repository/workspace/Users/131951/Assessment Attempt Attachments/21546071/439376/WS.EDHS.2018.ELA.X.91.pdf,Success
167571,11-AUG-20 01.38.42.679000000 AM,1107223,Of all the friends one gets to have in a lifetime.docx,http://52.252.6.133/suite/repository/workspace/Users/167571/Assessment Attempt Attachments/21547472/354356/Of all the friends one gets to have in a lifetime.docx,Success
167576,11-AUG-20 01.37.44.415000000 AM,1107222,World_on_Turtles_Back_Balance_Assignment.docx,http://52.252.6.133/suite/repository/workspace/Users/167576/Assessment Attempt Attachments/21547509/354354/World_on_Turtles_Back_Balance_Assignment.docx,Success
36960,11-AUG-20 01.27.37.219000000 AM,1107221,essay.pdf,http://52.252.6.133/suite/repository/workspace/Users/36960/Assessment Attempt Attachments/21546969/459600/essay.pdf,Success
167906,11-AUG-20 01.25.53.674000000 AM,1107220,Gatsby.pdf,http://52.252.6.133/suite/repository/workspace/Users/167906/Assessment Attempt Attachments/21544565/439217/Gatsby.pdf,Success
168967,11-AUG-20 01.14.55.848000000 AM,1107219,Basketball Essay.docx,http://52.252.6.133/suite/repository/workspace/Users/168967/Assessment Attempt Attachments/21547430/354267/Basketball Essay.docx,Success
168967,11-AUG-20 01.13.48.116000000 AM,1107218,Leyshlani A - Artic Wolves Esssay Rough Draft .docx,http://52.252.6.133/suite/repository/workspace/Users/168967/Assessment Attempt Attachments/21547427/354263/Leyshlani A - Artic Wolves Esssay Rough Draft .docx,Success
168961,11-AUG-20 01.12.04.655000000 AM,1107217,DE2B115F-87EF-45AD-BC0B-93C06C688EB1.png,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21547405/439335/DE2B115F-87EF-45AD-BC0B-93C06C688EB1.png,Success
