EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result,Details,UpdatedURL
201892,http://www.slideshare.net/professorgriffith/verb-tense-3017489#btnNext,See More,Success,,https://www.slideshare.net/professorgriffith/verb-tense-3017489#btnNext
228376,http://www.slideshare.net/pullerr/story-map-7006522,See More,Success,,https://www.slideshare.net/pullerr/story-map-7006522
203871,http://www.slideshare.net/rickertc/the-six-components-of-health,See More,Success,,https://www.slideshare.net/rickertc/the-six-components-of-health
201943,http://www.slideshare.net/schmeggo/sentence-fragments-and-run-ons#btnNext,See More,Success,,https://www.slideshare.net/schmeggo/sentence-fragments-and-run-ons#btnNext
208867,http://www.slideshare.net/sharrigan/sonnets-presentation,See More,Success,,https://www.slideshare.net/sharrigan/sonnets-presentation
160925,http://www.slideshare.net/tlieb11/what-is-geography,Do More,Success,,https://www.slideshare.net/tlieb11/what-is-geography
207264,http://www.slideshare.net/victorpilates/warm-up-cooldown,See More,Success,,https://www.slideshare.net/victorpilates/warm-up-cooldown
227774,http://www.slideshare.net/walkerlj/solving-problems-by-inductive-reasoning,See More,Success,,https://www.slideshare.net/walkerlj/solving-problems-by-inductive-reasoning
226584,http://www.smart-words.org/transition-words.html,See More,Redirected,URL should be updated to match Redirected URL,https://www.smart-words.org/linking-words/transition-words.html
228650,http://www.smithsonianeducation.org/idealabs/myths/symbolsinart/,Do More,Failed - https,Failed with https; Successful as http,
228649,http://www.smithsonianeducation.org/idealabs/myths/symbolsinastory/index.html,See More,Failed - https,Failed with https; Successful as http,
227811,http://www.smithsonianmag.com/history/in-john-they-trust-109294882/,Hear More,Success,,https://www.smithsonianmag.com/history/in-john-they-trust-109294882/
227799,http://www.smithsonianmag.com/history/terra-cotta-soldiers-on-the-march-30942673/?no-ist,Hear More,Success,,https://www.smithsonianmag.com/history/terra-cotta-soldiers-on-the-march-30942673/?no-ist
227812,http://www.smithsonianmag.com/smart-news/how-easter-island-statues-walked-to-their-stations-132000402/,Hear More,Success,,https://www.smithsonianmag.com/smart-news/how-easter-island-statues-walked-to-their-stations-132000402/
231021,http://www.snagfilms.com/films/title/the_incredible_human_body1,Instructional Video,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
230680,http://www.soccer-training-guide.com/soccer-positions.html#.WL7VwNLyvIU,Need 2 Know,Success,,https://www.soccer-training-guide.com/soccer-positions.html#.WL7VwNLyvIU
226084,http://www.socialstudiesforkids.com/articles/geography/equatorprimemeridian.htm,See More,Success,,https://www.socialstudiesforkids.com/articles/geography/equatorprimemeridian.htm
206913,http://www.socialstudiesforkids.com/articles/ushistory/monroedoctrine.htm,Do More,Success,,https://www.socialstudiesforkids.com/articles/ushistory/monroedoctrine.htm
168691,http://www.socialstudiesforkids.com/graphics/13mapnew.htm,Do More,Success,,https://www.socialstudiesforkids.com/graphics/13mapnew.htm
229057,http://www.socialstudieshelp.com/economic_systems.htm,Do More,404,"('Not Found', 'Nothing matches the given URI')",
202774,http://www.sonofthesouth.net/revolutionary-war/explorers/new-world-explorers.htm,Do More,Failed - https,Failed with https; Successful as http,
214252,http://www.sophia.org/ancient-india/ancient-india--3-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/user_sessions/new
207135,http://www.sophia.org/early-renaissance-architecture/early-renaissance-architecture-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/user_sessions/new
223617,http://www.sophia.org/early-renaissance-architecture/early-renaissance-architecture-tutorial,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/user_sessions/new
203560,http://www.sophia.org/perimeter-of-regular-polygons/perimeter-of-regular-polygons--5-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/perimeter-of-regular-polygons--5
209839,http://www.sophia.org/picking-a-research-topic-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/picking-a-research-topic
198548,http://www.sophia.org/prewriting/prewriting-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/prewriting
208968,http://www.sophia.org/primary-vs-secondary-sources/primary-vs-secondary-sources--2-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/primary-vs-secondary-sources--2
209083,http://www.sophia.org/revising-techniques--4-tutorial,See More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/revising-techniques--4
224291,http://www.sophia.org/tutorials/finding-the-volume-of-odd-solids-with-composite-fi--3,See More,Success,,https://www.sophia.org/tutorials/finding-the-volume-of-odd-solids-with-composite-fi--3
201957,http://www.sophia.org/word-repetition/word-repetition-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/word-repetition
231810,http://www.sophia.org/word-repetition/word-repetition-tutorial,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.sophia.org/tutorials/word-repetition
229611,http://www.spanishcentral.com/flashcards/list/meat-fish-seafood,Instructional Video,Success,,https://www.spanishcentral.com/flashcards/list/meat-fish-seafood
84590,http://www.spanishdaddy.com/learnspanish/expressingquantity.aspx,Instructional Video,Failed - https,Failed with https; Successful as http,
86010,http://www.spanishdict.com/flashcards/1297/animals-los-animales,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.spanishdict.com/vocabulary
229803,http://www.spanishdict.com/videos/interesar,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.spanishdict.com/translate/interesar
144283,http://www.spanishexperto.com/free_spanish_lessons/the_gerund.html,Instructional Video,Success,,https://www.spanishexperto.com/free_spanish_lessons/the_gerund.html
86485,http://www.spanishlearninglab.com/describe-places-town-in-spanish/,Instructional Video,Success,,https://www.spanishlearninglab.com/describe-places-town-in-spanish/
86292,http://www.spanishtown.ca/spanishforkids/grade1/Spanish_Lesson_7/Kitchen_Utensils_in_Spanish.html#.V-6y9igrJeU,Instructional Video,Success,,https://www.spanishtown.ca/spanishforkids/grade1/Spanish_Lesson_7/Kitchen_Utensils_in_Spanish.html#.V-6y9igrJeU
86694,http://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VRaeUrLrc,Instructional Video,Success,,https://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VRaeUrLrc
84180,http://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VST-UrLrc,Instructional Video,Success,,https://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VST-UrLrc
87045,http://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VVDuUrLrc,Instructional Video,Success,,https://www.spanishtown.ca/spanishforkids/grade1/monthlyvocabulary/month2activities/audio-saladeclase.htm#.V_VVDuUrLrc
227844,http://www.sparknotes.com/lit/flies/themes.html,Need 2 Know,Redirected,URL should be updated to match Redirected URL,https://www.sparknotes.com/lit/flies/themes/
231348,http://www.sparknotes.com/lit/gatsby/summary.html,Need 2 Know,Redirected,URL should be updated to match Redirected URL,https://www.sparknotes.com/lit/gatsby/summary/
233858,http://www.sparknotes.com/lit/gatsby/summary/,Need 2 Know,Success,,https://www.sparknotes.com/lit/gatsby/summary/
226749,http://www.sparknotes.com/lit/redbadge/quiz.html,Do More,Redirected,URL should be updated to match Redirected URL,https://www.sparknotes.com/lit/redbadge/quiz/
225431,http://www.sparknotes.com/math/prealgebra/integersandrationals/section2.rhtml,See More,Redirected,URL should be updated to match Redirected URL,https://www.sparknotes.com/math/prealgebra/integersandrationals/section2/
231368,http://www.sparknotes.com/shakespeare/hamlet/summary.html,Need 2 Know,Redirected,URL should be updated to match Redirected URL,https://www.sparknotes.com/shakespeare/hamlet/summary/
227130,http://www.sporcle.com/games/Delphi/bones-of-the-human-body,Do More,Success,,https://www.sporcle.com/games/Delphi/bones-of-the-human-body
209676,http://www.sporcle.com/games/g/candyslogans,Do More,Success,,https://www.sporcle.com/games/g/candyslogans
174192,http://www.sporcle.com/games/jeffs21/factorials,Do More,Success,,https://www.sporcle.com/games/jeffs21/factorials
228643,http://www.sporcle.com/games/jmatt22397/a-z-onomatopoeia,Do More,Success,,https://www.sporcle.com/games/jmatt22397/a-z-onomatopoeia
87513,http://www.sporcle.com/games/naqwerty3/francais_lecon_un,Instructional Video,Success,,https://www.sporcle.com/games/naqwerty3/francais_lecon_un
209722,http://www.sporcle.com/games/needapausebutton/missing-word-product-hype-a-z,Do More,Success,,https://www.sporcle.com/games/needapausebutton/missing-word-product-hype-a-z
228130,http://www.sporcle.com/games/pgrossma/missed-the-pun,Do More,Success,,https://www.sporcle.com/games/pgrossma/missed-the-pun
85056,http://www.sportschau.de/weitere/rudern/video-ruder-em--deutschland-achter-holt-gold-100.html,Instructional Video,404,"('Not Found', 'Nothing matches the given URI')",
209931,http://www.squidoo.com/kingdoms-and-domains-of-life-biology,See More,Redirected,URL should be updated to match Redirected URL,https://hubpages.com/education/kingdoms-and-domains-of-life-biology
224929,http://www.srh.noaa.gov/jetstream/synoptic/wxmaps.htm ,Need 2 Know,Failed,Failed to establish a connection,
230844,http://www.stack.com/video/269266233001/sprint-phases-with-u-s-sprinter-leroy-dixon,Need 2 Know,Success,,https://www.stack.com/video/269266233001/sprint-phases-with-u-s-sprinter-leroy-dixon
227180,http://www.statelocalgov.net/,Do More,Success,,https://www.statelocalgov.net/
232114,http://www.statisticshowto.com/mutually-exclusive-event/,Hear More,Success,,https://www.statisticshowto.com/mutually-exclusive-event/
87554,http://www.stern.de/wirtschaft/job/tipps-fuer-die-jobsuche--diese-fragen-sollten-sie-im-bewerbungsgespraech-stellen-6869862.html,Instructional Video,Success,,https://www.stern.de/wirtschaft/job/tipps-fuer-die-jobsuche--diese-fragen-sollten-sie-im-bewerbungsgespraech-stellen-6869862.html
226163,http://www.stratfordhall.org/educational-resources/teacher-resources/games/,Do More,404,"('Not Found', 'Nothing matches the given URI')",
